Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
s_lng_prop_mn,Entire point cloud,General,Raster,Mean proportion of non-occluded area,Mean proportion of returned pulses for all locations that are not zero or occluded in that layer,,,,,,,,,,1
s_lng_prop_sd,Entire point cloud,General,Raster,Standard deviation of the proportion of non-occluded area,Standard deviation of returned pulses for all locations that are not zero or occluded in that layer,,,,,,,,,,1
s_lng_prop_sk,Entire point cloud,General,Raster,Skewness of the proportion of non-occluded area,Skewness proportion of returned pulses for all locations that are not zero or occluded in that layer,,,,,,,,,,1
s_lng_prop_ku,Entire point cloud,General,Raster,Kurtosis of the proportion of non-occluded area,Kurtosis proportion of returned pulses for all locations that are not zero or occluded in that layer,,,,,,,,,,1
s_l1_na_per,Spherical distance level 1,Occlusion,Raw,Percent of non-ground points occluded in strata,Percent of non-ground points occluded in strata level 1 from origin,,,,,,,,,,1
s_l1_zero_per,Spherical distance level 1,Occlusion,Raw,Percent of unreturned non-ground points (true empty space) in strata,Percent of unreturned non-ground points (true empty space) in strata level 1 from origin,,,,,,,,,,1
s_l1_prop_mn,Spherical distance level 1,Occlusion,Raw,Mean proportion of occluded and no returns in strata,Mean proportion of occluded and no returns in strata level 1 from origin,,,,,,,,,,1
s_l1_prop_sd,Spherical distance level 1,Occlusion,Raw,Standard deviation of proportion of occluded and no returns in strata,Standard deviation of proportion of occluded and no returns in strata level 1 from origin,,,,,,,,,,1
s_l1_prop_sk,Spherical distance level 1,Occlusion,Raw,Skewness of proportion of occluded and no returns in strata,Skewness of proportion of occluded and no returns in strata level 1 from origin,,,,,,,,,,1
s_l1_prop_ku,Spherical distance level 1,Occlusion,Raw,Kurtosis of proportion of occluded and no returns in strata,Kurtosis of proportion of occluded and no returns in strata level 1 from origin,,,,,,,,,,1
s_l2_na_per,Spherical distance level 2,Occlusion,Raw,Percent of non-ground points occluded in strata ,Percent of non-ground points occluded in strata  level 2 from origin,,,,,,,,,,1
s_l2_zero_per,Spherical distance level 2,Occlusion,Raw,Percent of unreturned non-ground points (true empty space) in strata,Percent of unreturned non-ground points (true empty space) in strata level 2 from origin,,,,,,,,,,1
s_l2_prop_mn,Spherical distance level 2,Occlusion,Raw,Mean proportion of occluded and no returns in strata,Mean proportion of occluded and no returns in strata level 2 from origin,,,,,,,,,,1
s_l2_prop_sd,Spherical distance level 2,Occlusion,Raw,Standard deviation of proportion of occluded and no returns in strata,Standard deviation of proportion of occluded and no returns in strata level 2 from origin,,,,,,,,,,1
s_l2_prop_sk,Spherical distance level 2,Occlusion,Raw,Skewness of proportion of occluded and no returns in strata,Skewness of proportion of occluded and no returns in strata level 2 from origin,,,,,,,,,,1
s_l2_prop_ku,Spherical distance level 2,Occlusion,Raw,Kurtosis of proportion of occluded and no returns in strata,Kurtosis of proportion of occluded and no returns in strata level 2 from origin,,,,,,,,,,1
